Title,Reference Disc,Standout Disc,Native 4k,Dolby Vision,HDR10+,Imax Enhanced,60 FPS,Dolby Atmos,DTS:X,Release Date,Studio
"Goonies, The: 35th Anniversary",false,false,true,false,false,false,false,false,false,9/1/2020,Warner Bros. Home Entertainment
"Goosebumps 2: Haunted Halloween",false,false,false,false,false,false,false,true,false,1/15/19,Sony Pictures Home Entertainment
"Gravity",false,false,false,false,false,false,false,true,false,TBA 2022,Warner Bros. Home Entertainment
"Grease: 40th Anniversary Edition",false,true,true,true,false,false,false,false,false,4/24/18,Paramount Pictures Home Entertainment
"Great Gatsby, The (2016)",false,true,false,false,false,false,false,false,false,10/4/16,Warner Bros. Home Entertainment
"Great Wall, The",true,false,true,false,false,false,false,true,false,5/23/17,Universal Studios Home Entertainment
"Greatest Showman, The",true,false,false,false,false,false,false,true,false,4/10/18,20th Century Studios Home Entertainment (ex Fox now Walt Disney previously MGM)
"Green Book",false,false,false,false,false,false,false,true,false,3/12/19,Universal Studios Home Entertainment
"Green Knight, The",false,false,true,true,false,false,false,true,false,10/12/21,Lionsgate
"Greenland (for STX Films)",false,true,true,false,false,false,false,false,false,3/5/21,Universal Studios Home Entertainment
"Gremlins",false,false,true,false,false,false,false,false,false,10/1/19,Warner Bros. Home Entertainment
"Groundhog Day: 25th Anniversary Edition",false,false,true,false,false,false,false,false,false,6/26/18,Sony Pictures Home Entertainment
"Guardians of the Galaxy",false,true,false,false,false,false,false,true,false,10/1/19,Walt Disney Studios Home Entertainment (also Fox see above)
"Guardians of the Galaxy, Vol. 2",true,false,false,false,false,false,false,true,false,8/22/17,Walt Disney Studios Home Entertainment (also Fox see above)
"Guns of Navarone, The",false,false,true,false,false,false,false,true,false,11/12/21,Sony Pictures Home Entertainment
"Hacksaw Ridge (Steelbook)",false,false,true,false,false,false,false,true,false,11/2/21,Lionsgate
"Hacksaw Ridge",false,true,false,false,false,false,false,true,false,2/21/17,Lionsgate
"Halloween (1978)",false,true,true,true,false,false,false,false,false,9/25/18,Lionsgate
"Halloween (2018)",false,false,false,false,false,false,false,false,true,1/15/19,Universal Studios Home Entertainment
"Halloween 4: The Return of Michael Myers – Collector's Edition",false,false,true,true,false,false,false,true,false,9/28/21,Shout! Factory
"Halloween 5: The Revenge of Michael Myers – Collector's Edition",false,false,true,true,false,false,false,true,false,9/28/21,Shout! Factory
"Halloween II: Collector's Edition",false,false,true,true,false,false,false,true,false,9/28/21,Shout! Factory
"Halloween III: Season of the Witch – Collector's Edition",false,false,true,true,false,false,false,true,false,9/28/21,Shout! Factory
"Halloween: Collector's Edition",false,false,true,true,false,false,false,true,false,9/28/21,Shout! Factory
