Title,Studio,Release Date,Reference,Standout,Native 4k,Dolby Vision,HDR10+,Imax Enhanced,60 FPS,Dolby Atmos,DTS:X
Captain Underpants: The First Epic Movie,20th Century Fox Home Entertainment (Walt Disney previously MGM),9/12/17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Cars,Walt Disney Studios Home Entertainment (also Fox see above),9/10/19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Cars 2,Walt Disney Studios Home Entertainment (also Fox see above),9/10/19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Cars 3,Walt Disney Studios Home Entertainment (also Fox see above),11/7/17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Casino,Universal Studios Home Entertainment,9/10/19,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Casino Royale,20th Century Fox Home Entertainment (Walt Disney previously MGM),2/25/20,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Castle Rock: The Complete First Season,Warner Bros. Home Entertainment,1/8/19,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Cats (2019),Universal Studios Home Entertainment,4/7/2020,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Central Intelligence,Warner Bros. Home Entertainment,9/27/16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CHAPPiE,Sony Pictures Home Entertainment,2/23/16,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Charlie's Angels (2019),Sony Pictures Home Entertainment,3/10/20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Charlie’s Angels (2000),Sony Pictures Home Entertainment,10/22/19,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Christine,Sony Pictures Home Entertainment,9/11/18,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Cinderella (2015),Walt Disney Studios Home Entertainment (also Fox see above),6/25/19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Cinema Paradiso,Arrow Video,9/21/2020,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Clear and Present Danger,Paramount Pictures Home Entertainment,8/21/18,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Cliffhanger,Sony Pictures Home Entertainment,1/15/19,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Close Encounters of the Third Kind: 40th Anniversary Edition,Sony Pictures Home Entertainment,9/19/17,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Cloverfield,Paramount Pictures Home Entertainment,1/23/18,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Coco,Walt Disney Studios Home Entertainment (also Fox see above),2/27/18,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Cold Pursuit,Lionsgate,5/14/2019,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
Collateral,Paramount Pictures Home Entertainment,TBA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Color Out of Space,Image (RLJ Entertainment/Cinestate),2/25/20,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Columbia Classics 4K Ultra HD Collection: Volume 1 (Lawrence of Arabia, Ghandi, Mr. Smith Goes to Washington, Dr. Strangelove, Jerry Maguire, and A League of Their Own)",Sony Pictures Home Entertainment,6/16/20,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Columbia Classics 4K Ultra HD Collection: Volume 2 (films TBA),Sony Pictures Home Entertainment,TBA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Coming to America,Paramount Pictures Home Entertainment,TBA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Conan the Barbarian (2011),Lionsgate,9/19/17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Concussion,Sony Pictures Home Entertainment,3/29/16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Constantine: City of Demons,Warner Bros. Home Entertainment,10/9/18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Crank,Lionsgate,5/21/2019,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
Crash (MediaBook Edition),Turbine Media (Germany),5/22/20,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Crash (Regular Edition),Turbine Media (Germany),8/14/20,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Crazy Rich Asians,Warner Bros. Home Entertainment,11/20/18,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Creed,Warner Bros. Home Entertainment,6/7/16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Creed II,Warner Bros. Home Entertainment,3/5/19,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
Criminal,Lionsgate,7/26/16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Crouching Tiger, Hidden Dragon",Sony Pictures Home Entertainment,10/18/16,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
